system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
29,"1""-JC-28-29-0111-J48-N","1""",JC,J48,N,,,"P-2802.C,G-2802,P-2802.A/B/C","8""-H-28-12-0220-J85S-P,8""-H-28-12-0120-J85S-P",HP Corrosion Inhibitor,,,,,,,,,280,6,40,,350,-46,55,525,Water,,,,,100,100,,No,"AD-28-D-100006-SHT-001,AD-28-D-100002-SHT-001",
29,"1""-JC-28-29-0111-J85S-N","1""",JC,J85S,N,,,"P-2802.C,G-2802","8""-H-28-12-0220-J85S-P",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
29,"1""-JC-28-29-0201-J16-N","1""",JC,J16,N,,,P-2802.A/B/C,"8""-H-28-12-0102-J16-N",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100001-SHT-001,
29,"1""-JC-28-29-0201-J47-N","1""",JC,J47,N,,,P-2802.A/B/C,"8""-H-28-12-0102-J16-P,8""-H-28-12-0102-J16-N",HP Corrosion Inhibitor,,,,,,,,97,279,8,40,,350,-46,55,,,,,,,100,,100,No,"AD-28-D-100002-SHT-001,AD-28-D-100001-SHT-001",
29,"1""-JC-28-29-0201-J48-N","1""",JC,J48,N,,,P-2802.A/B/C,"8""-H-28-12-0102-J16-N",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100001-SHT-001,
29,"1""-JC-28-29-0202-B48-N","1""",JC,B48,N,,,"Q-2802,F1","P-2802.C,PSV-282020.C",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"1""-JC-28-29-0202-B56-N","1""",JC,B56,N,,,"Q-2802,F1",P-2802.A/B,HP Corrosion Inhibitor,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"1""-MT-28-29-0110-J85S-N","1""",MT,J85S,N,,,"1-1/2""-MT-28-29-0201-J47-N","8""-H-28-12-0120-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100005-SHT-001,
29,"1""-MT-28-29-0112-J85S-N","1""",MT,J85S,N,,,"1-1/2""-MT-28-29-0110-J48-N","8""-H-28-12-0220-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
29,"1""-MT-28-29-0201-J16-N","1""",MT,J16,N,,,"2""-MT-28-29-0715-J48-N","8""-H-28-12-0102-J16-P",Methanol,,,,,,,,,,,,,,,,,,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
29,"1""-MT-28-29-0201-J47-N","1""",MT,J47,N,,,"2""-MT-28-29-0715-J48-N","8""-H-28-12-0102-J16-P",Methanol,,,,,,,,97,279,,25,,350,-46,90,,,,,,,,,,No,AD-28-D-100001-SHT-001,
29,"1""-MT-28-29-0202-J47-N","1""",MT,J47,N,,,"2""-MT-28-29-0713-J48-N","8""-H-28-12-0105-J16-P",Methanol,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,No,AD-28-D-100001-SHT-001,
29,"1""-MT-28-29-0711-J48-N","1""",MT,J48,N,,,"2""-MT-28-29-0713-J48-N","14""-H-28-12-0321-J26S-P",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,100,100,,No,AD-28-D-100007-SHT-001,
22,"1"",2""-V-28-22-0203-B10-N","1"",2""",V,B10,N,,,"Q-2801,E","4""-V-28-22-0105-B16-N",Vent,,,,,,,,,0,8,43,,3.5,,55,,,,,,,,,,,AD-28-D-100004-SHT-001,
99,"1""-VT-28-99-GP-2802-J26S-N","1""",VT,J26S,N,,,,,Vessel Trim,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100007-SHT-001,
99,"1""-VT-28-99-Q-2801-B48-N","1""",VT,B48,N,,,"Q-2801,LS1,Q-2801,LS2",,Vessel Trim,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100004-SHT-001,
99,"1""-VT-28-99-Q-2802-B56-N","1""",VT,B56,N,,,Q-2802,,Vessel Trim,,,,,,,,,,,,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
12,"1-1/2""-H-28-12-0105-J16-N","1-1/2""",H,J16,N,,,"8""-H-28-12-0104-J16-P","8""-H-28-18-0101-J20-N,3""-V-28-22-0101-B16-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"1-1/2""-H-28-12-0107-J16-N","1-1/2""",H,J16,N,,,"GP-2801,PSV1","3""-V-28-22-0105-B16-N,3""-V-28-22-0105-D03-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"1-1/2""-H-28-12-0113-H03S-N","1-1/2""",H,H03S,N,,,"20"" CASING (AF-4)","3""-DH-28-31-0414-B06S-N,BLIND END",Process Fluid,,,,,,,,,,,,,190,,100,,,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
